
V-310	chicken	chicken	fish	fish	and	
V-310	sugar	sugar	pepsi	pepsi	found no difference between drinking coke versus	
V-310	animal fat	animal fat	cholesterol	cholesterol	and	
V-310	saturated animal fat	saturated animal fat	cholesterol	cholesterol	and	
V-310	blood sugar	blood sugar	pepsi	pepsi	found no difference between drinking coke versus	
V-310	saturated fat	saturated fat	cholesterol	cholesterol	and	
V-310	fat	fat	cholesterol	cholesterol	and	
V-310	fats	fats	cholesterol	cholesterol	and	
V-310	tofu	tofu	lard	lard	and	
V-310	animal fats	animal fats	cholesterol	cholesterol	and	
V-310	eggs	eggs	cholesterol	cholesterol	may lower	
V-310	lard	lard	meat	meat	may indeed actually be better than	
