
dump sentences\A-423_80_.txt	life	poultry	lost is	VP	[VBD, VBZ]	1
dump sentences\V-851_2_.txt	tamoxifen	who	,	LIST	[,]	1
dump sentences\A-52_24_.txt	vegetables	cancer	without the	PREP	[IN, DT]	2
dump sentences\V-176_2_.txt	death	infant	of the	PREP	[IN, DT]	1
dump sentences\V-181_4_.txt	free radicals	antioxidants	that they eat up the	PREP	[IN, PRP, VBP, RP, DT]	1
dump sentences\T-643_5_.txt	can	down	shut	VP	[VB]	2
dump sentences\V-753_73_.txt	low-calorie diet	nuts	with or without	PREP	[IN, CC, IN]	2
dump sentences\T-1339_0_.txt	eggs	inflammation	thought to cause	VP	[VBD, TO, VB]	1
dump sentences\A-181_25_.txt	can	colon cancer	see this with	VP	[VB, DT, IN]	2
dump sentences\V-444_3_.txt	exercise	can	,	LIST	[,]	2
dump sentences\V-547_4_.txt	age	coronary heart disease	at which	PREP	[IN, WDT]	2
dump sentences\V-791_5_.txt	arteries	can	, they	LIST	[,, PRP]	1
dump sentences\A-255_0_.txt	living	prostate cancer	with	PREP	[IN]	8
dump sentences\V-313_33_.txt	brains	who	of those	PREP	[IN, DT]	1
dump sentences\V-1092_1_.txt	soft drinks	benzene	have	VP	[VBP]	1
dump sentences\V-788_0_.txt	age	immune system	, our	LIST	[,, PRP$]	1
dump sentences\V-1245_2_.txt	raisin	golden	, or a	AND-CONJ	[,, CC, DT]	1
dump sentences\A-150_28_.txt	who	book	will do their best to	VP	[MD, VB, PRP$, JJS, TO]	1
dump sentences\V-908_8_.txt	cervical cancer	breast cancer	,	LIST	[,]	5
dump sentences\T-981_2_.txt	cocoa	gluten	,	LIST	[,]	1
dump sentences\A-302_1_.txt	sudden death	diabetes	,	LIST	[,]	3
dump sentences\T-1930_4_.txt	who	virus	had the	VP	[VBD, DT]	1
dump sentences\V-1007_5_.txt	stomach	produce	to	PREP	[TO]	1
dump sentences\V-401_33_.txt	kids	live	to	PREP	[TO]	1
dump sentences\A-170_10_.txt	cryptoxanthin	lycopene	,	LIST	[,]	2
dump sentences\A-94_16_.txt	garlic	vegetables	stood out for the	VP	[VBD, RP, IN, DT]	2
dump sentences\V-1082_3_.txt	fruits	red yeast rice	,	LIST	[,]	1
dump sentences\V-905_7_.txt	drug	glyburide	,	LIST	[,]	1
