
A-245	beans	beans	fiber	fiber	are excellent sources of	
A-245	americans	americans	beans	beans	don’t know	
A-245	peas	peas	lentils	lentils	or	
A-245	beans	beans	cheap	cheap	are	
A-245	americans	americans	greens	greens	don’t eat their	
A-245	split peas	split peas	lentils	lentils	or	
A-245	americans	americans	beans	beans	don’t even meet the measly minimum recommended intake of	
A-245	canned beans	canned beans	beans	beans	cost about three times more than dried	
A-245	greens	greens	beans	beans	and	
A-245	beans	beans	gas	gas	and	
A-245	beans	beans	sodium	sodium	can get rid of about half the	
A-245	canned beans	canned beans	sodium	sodium	can get rid of about half the	
A-245	cost per serving	cost per serving	beans	beans	of	
